Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",172.702000,-90.410000,-90.000000,top
"C2","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",179.814000,-89.648000,-90.000000,top
"C3","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",181.864000,-89.662000,90.000000,top
"C4","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",188.621500,-82.998000,0.000000,top
"C5","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",188.621500,-86.614000,180.000000,top
"C6","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",178.207500,-120.650000,0.000000,top
"C7","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",178.054000,-87.376000,90.000000,top
"C8","10u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",182.880000,-119.787500,180.000000,top
"C9","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",198.882000,-110.236000,0.000000,top
"C10","10u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",194.596000,-125.508000,90.000000,top
"C11","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",196.342000,-125.508000,90.000000,top
"C12","18p","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",195.326000,-121.412000,180.000000,top
"C13","18p","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",195.326000,-122.936000,180.000000,top
"C14","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",178.816000,-100.584000,90.000000,top
"C15","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",181.610000,-101.499500,90.000000,top
"C16","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",181.610000,-105.309500,90.000000,top
"C17","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",181.610000,-109.220000,90.000000,top
"C18","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",182.271500,-112.776000,0.000000,top
"C19","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",182.271500,-114.554000,0.000000,top
"C20","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",182.271500,-116.332000,0.000000,top
"C21","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",182.185500,-118.110000,0.000000,top
"C23","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",178.623500,-117.274000,180.000000,top
"J1","532611071","CONN_532610001",172.609500,-109.905000,90.000000,top
"P1","S2B-PH-SM4-TB","JST_S2B-PH-SM4-TB",197.023000,-115.824000,-90.000000,top
"R1","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",188.621500,-84.836000,180.000000,top
"R2","100","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",180.360000,-97.790000,0.000000,top
"R3","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",178.461500,-103.214000,0.000000,top
"R4","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",178.461500,-104.992000,0.000000,top
"R5","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",178.461500,-106.770000,0.000000,top
"R6","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",178.461500,-108.548000,0.000000,top
"R7","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",178.543500,-110.282000,0.000000,top
"R8","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",178.543500,-112.104000,0.000000,top
"R9","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",178.543500,-113.882000,0.000000,top
"R10","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",178.543500,-115.660000,0.000000,top
"R11","100","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",180.380000,-96.012000,0.000000,top
"R12","100","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",180.340000,-94.234000,0.000000,top
"R13","100","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",180.340000,-92.456000,0.000000,top
"R14","100","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",176.022000,-97.282000,180.000000,top
"R15","100","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",176.022000,-95.504000,180.000000,top
"R16","100","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",176.022000,-93.726000,180.000000,top
"U1","ADS1256IDBR","ADS1256IDBR",189.484000,-115.824000,0.000000,top
"U2","ADP151AUJZ-3.0-R7","ADP151AUJZ-3P0-R7",175.514000,-90.424000,-90.000000,top
"U3","OPA350UA","OPA350UA",182.880000,-84.646500,180.000000,top
"U4","REF5025AIDR","REF5025AIDR",194.491348,-85.431000,180.000000,top
"U5","102010448","102010448",193.548000,-99.060000,-90.000000,top
"Y1","ABLS-8MHZ-K4T","XTAL_ABLS-8.000MHZ-K4T",185.420000,-124.460000,180.000000,top
